  J/psi pT    B pT Mean    BpT RMS  
 25.0-26.0   & 28.8  /pm    3.0 

 26.0-27.0   & 29.8  /pm    2.9 

 27.0-28.0   & 29.9  /pm    1.4 

 28.0-29.0   & 30.9  /pm    2.4 

 29.0-30.0   & 34.1  /pm    2.7 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.4  /pm    1.0 

 1.0-2.0   & 2.1  /pm    1.1 

 2.0-3.0   & 3.1  /pm    1.3 

 3.0-4.0   & 4.2  /pm    1.3 

 4.0-5.0   & 5.3  /pm    1.4 

 5.0-6.0   & 6.5  /pm    1.5 

 6.0-7.0   & 7.6  /pm    1.6 

 7.0-8.0   & 8.8  /pm    1.8 

 8.0-9.0   & 10.0  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.1 

 10.0-11.0   & 12.4  /pm    2.3 

 11.0-12.0   & 13.5  /pm    2.5 

 12.0-13.0   & 14.8  /pm    2.6 

 13.0-14.0   & 15.9  /pm    2.6 

 14.0-15.0   & 17.0  /pm    3.0 

 15.0-16.0   & 18.2  /pm    3.2 

 16.0-17.0   & 19.3  /pm    2.6 

 17.0-18.0   & 20.3  /pm    2.7 

 18.0-19.0   & 21.8  /pm    3.4 

 19.0-20.0   & 22.8  /pm    3.5 

 20.0-21.0   & 23.6  /pm    2.8 

 21.0-22.0   & 25.5  /pm    3.4 

 22.0-23.0   & 26.7  /pm    3.2 

 23.0-24.0   & 26.5  /pm    2.0 

 24.0-25.0   & 29.2  /pm    4.1 

 25.0-26.0   & 28.8  /pm    3.0 

 26.0-27.0   & 29.8  /pm    2.9 

 27.0-28.0   & 29.9  /pm    1.4 

 28.0-29.0   & 30.9  /pm    2.4 

 29.0-30.0   & 34.1  /pm    2.7 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.3  /pm    0.8 

 1.0-2.0   & 2.3  /pm    0.9 

 2.0-3.0   & 3.6  /pm    1.0 

 3.0-4.0   & 5.2  /pm    1.9 

 4.0-5.0   & 7.0  /pm    2.5 

 5.0-6.0   & 9.7  /pm    2.2 

 6.0-7.0   & 7.0  /pm    0.2 

 7.0-8.0   & 0.0  /pm    0.0 

 8.0-9.0   & 0.0  /pm    0.0 

 9.0-10.0   & 0.0  /pm    0.0 

 10.0-11.0   & 0.0  /pm    0.0 

 11.0-12.0   & 0.0  /pm    0.0 

 12.0-13.0   & 0.0  /pm    0.0 

 13.0-14.0   & 0.0  /pm    0.0 

 14.0-15.0   & 0.0  /pm    0.0 

 15.0-16.0   & 0.0  /pm    0.0 

 16.0-17.0   & 0.0  /pm    0.0 

 17.0-18.0   & 0.0  /pm    0.0 

 18.0-19.0   & 0.0  /pm    0.0 

 19.0-20.0   & 0.0  /pm    0.0 

 20.0-21.0   & 0.0  /pm    0.0 

 21.0-22.0   & 0.0  /pm    0.0 

 22.0-23.0   & 0.0  /pm    0.0 

 23.0-24.0   & 0.0  /pm    0.0 

 24.0-25.0   & 0.0  /pm    0.0 

 25.0-26.0   & 0.0  /pm    0.0 

 26.0-27.0   & 0.0  /pm    0.0 

 27.0-28.0   & 0.0  /pm    0.0 

 28.0-29.0   & 0.0  /pm    0.0 

 29.0-30.0   & 0.0  /pm    0.0 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.3  /pm    0.8 

 1.0-2.0   & 2.3  /pm    0.9 

 2.0-3.0   & 3.6  /pm    1.0 

 3.0-4.0   & 5.2  /pm    1.9 

 4.0-5.0   & 7.0  /pm    2.5 

 5.0-6.0   & 9.7  /pm    2.2 

 6.0-7.0   & 7.0  /pm    0.2 

 7.0-8.0   & 0.0  /pm    0.0 

 8.0-9.0   & 0.0  /pm    0.0 

 9.0-10.0   & 0.0  /pm    0.0 

 10.0-11.0   & 0.0  /pm    0.0 

 11.0-12.0   & 0.0  /pm    0.0 

 12.0-13.0   & 0.0  /pm    0.0 

 13.0-14.0   & 0.0  /pm    0.0 

 14.0-15.0   & 0.0  /pm    0.0 

 15.0-16.0   & 0.0  /pm    0.0 

 16.0-17.0   & 0.0  /pm    0.0 

 17.0-18.0   & 0.0  /pm    0.0 

 18.0-19.0   & 0.0  /pm    0.0 

 19.0-20.0   & 0.0  /pm    0.0 

 20.0-21.0   & 0.0  /pm    0.0 

 21.0-22.0   & 0.0  /pm    0.0 

 22.0-23.0   & 0.0  /pm    0.0 

 23.0-24.0   & 0.0  /pm    0.0 

 24.0-25.0   & 0.0  /pm    0.0 

 25.0-26.0   & 0.0  /pm    0.0 

 26.0-27.0   & 0.0  /pm    0.0 

 27.0-28.0   & 0.0  /pm    0.0 

 28.0-29.0   & 0.0  /pm    0.0 

 29.0-30.0   & 0.0  /pm    0.0 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.3  /pm    0.8 

 1.0-2.0   & 2.3  /pm    0.9 

 2.0-3.0   & 3.6  /pm    1.0 

 3.0-4.0   & 5.2  /pm    1.7 

 4.0-5.0   & 7.0  /pm    2.2 

 5.0-6.0   & 8.8  /pm    2.2 

 6.0-7.0   & 7.0  /pm    0.2 

 7.0-8.0   & 0.0  /pm    0.0 

 8.0-9.0   & 0.0  /pm    0.0 

 9.0-10.0   & 0.0  /pm    0.0 

 10.0-11.0   & 0.0  /pm    0.0 

 11.0-12.0   & 0.0  /pm    0.0 

 12.0-13.0   & 0.0  /pm    0.0 

 13.0-14.0   & 0.0  /pm    0.0 

 14.0-15.0   & 0.0  /pm    0.0 

 15.0-16.0   & 0.0  /pm    0.0 

 16.0-17.0   & 0.0  /pm    0.0 

 17.0-18.0   & 0.0  /pm    0.0 

 18.0-19.0   & 0.0  /pm    0.0 

 19.0-20.0   & 0.0  /pm    0.0 

 20.0-21.0   & 0.0  /pm    0.0 

 21.0-22.0   & 0.0  /pm    0.0 

 22.0-23.0   & 0.0  /pm    0.0 

 23.0-24.0   & 0.0  /pm    0.0 

 24.0-25.0   & 0.0  /pm    0.0 

 25.0-26.0   & 0.0  /pm    0.0 

 26.0-27.0   & 0.0  /pm    0.0 

 27.0-28.0   & 0.0  /pm    0.0 

 28.0-29.0   & 0.0  /pm    0.0 

 29.0-30.0   & 0.0  /pm    0.0 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.3  /pm    0.8 

 1.0-2.0   & 2.3  /pm    0.9 

 2.0-3.0   & 3.6  /pm    1.0 

 3.0-4.0   & 5.2  /pm    1.7 

 4.0-5.0   & 7.0  /pm    2.2 

 5.0-6.0   & 8.8  /pm    2.2 

 6.0-7.0   & 7.0  /pm    0.2 

 7.0-8.0   & 0.0  /pm    0.0 

 8.0-9.0   & 0.0  /pm    0.0 

 9.0-10.0   & 0.0  /pm    0.0 

 10.0-11.0   & 0.0  /pm    0.0 

 11.0-12.0   & 0.0  /pm    0.0 

 12.0-13.0   & 0.0  /pm    0.0 

 13.0-14.0   & 0.0  /pm    0.0 

 14.0-15.0   & 0.0  /pm    0.0 

 15.0-16.0   & 0.0  /pm    0.0 

 16.0-17.0   & 0.0  /pm    0.0 

 17.0-18.0   & 0.0  /pm    0.0 

 18.0-19.0   & 0.0  /pm    0.0 

 19.0-20.0   & 0.0  /pm    0.0 

 20.0-21.0   & 0.0  /pm    0.0 

 21.0-22.0   & 0.0  /pm    0.0 

 22.0-23.0   & 0.0  /pm    0.0 

 23.0-24.0   & 0.0  /pm    0.0 

 24.0-25.0   & 0.0  /pm    0.0 

 25.0-26.0   & 0.0  /pm    0.0 

 26.0-27.0   & 0.0  /pm    0.0 

 27.0-28.0   & 0.0  /pm    0.0 

 28.0-29.0   & 0.0  /pm    0.0 

 29.0-30.0   & 0.0  /pm    0.0 

